Threads,1,1,2,2,4,4,8,8
Method,Avg,Std,Avg,Std,Avg,Std,Avg,Std
Serial,11.78800,5.63796,-,-,-,-,-,-
Mutex,13.15200,5.06005,17.26800,5.29455,17.86200,5.91413,17.81400,5.85149
Read-Write,12.05000,6.00930,18.08000,6.07910,18.55000,6.32325,18.32600,6.21522
