Threads,1,1,2,2,4,4,8,8
Method,Avg,Std,Avg,Std,Avg,Std,Avg,Std
Serial,14.34200,4.48031,-,-,-,-,-,-
Mutex,14.68200,3.96842,20.05400,6.92177,19.85400,6.99274,18.84600,6.76534
Read-Write,14.88600,3.70303,21.14400,7.34924,20.08800,6.11089,19.88200,7.03413
