Threads,1,1,2,2,4,4,8,8
Method,Avg,Std,Avg,Std,Avg,Std,Avg,Std
Serial,15.19500,4.78793,-,-,-,-,-,-
Mutex,15.75000,4.63478,22.49000,6.37703,20.94000,6.85777,20.49750,6.63174
Read-Write,15.86250,4.05150,22.64500,6.58996,21.65000,7.04426,20.75500,6.60940
